2014-12-28,Pearl,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Elijah Wood, Ian McKellen, Orlando Bloom",A meek hobbit of the Shire and eight companions set out on a journey to Mount Doom to destroy the One Ring and the dark lord Sauron.
2015-01-01,BT,tt2788710,The Interview,2014,"James Franco, Seth Rogen, Randall Park","Dave Skylark and producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight."" When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission."
2015-01-02,Pearl,tt0989757,Dear John,2010,"Channing Tatum, Amanda Seyfried, Richard Jenkins",A romantic drama about a soldier who falls for a conservative college student while he's home on leave.
2015-01-06,Cinema,tt2692250,Night at the Museum: Secret of the Tomb,2014,"Ben Stiller, Robin Williams, Owen Wilson","Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever."
2015-01-09,Pearl,tt1028576,Secretariat ,2010,"Diane Lane, John Malkovich, Margo Martindale","Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown."
2015-01-12,Cinema,tt1462900,The Grandmaster,2015,"Tony Chiu Wai Leung, Ziyi Zhang, Jin Zhang","The story of martial-arts master Ip Man, the man who trained Bruce Lee."
2015-01-12,Cinema,tt3950078,The Taking of Tiger Mountain,2015,"Hanyu Zhang, Kenny Lin, Liya Tong",A story centered around a conflict between a People's Liberation Army squad and a bandit gang in northeast China during the Chinese revolution.
2015-01-16,Pearl,tt1570728,"Crazy, Stupid, Love.",2011,"Steve Carell, Ryan Gosling, Julianne Moore","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
2015-01-20,BT,tt1397280,Taken 2,2012,"Liam Neeson, Famke Janssen, Maggie Grace","In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
2015-01-23,Pearl,tt0796366,Star Trek,2009,"Chris Pine, Zachary Quinto, Simon Pegg","The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time."
2015-01-25,Pearl,tt0441773,Kung Fu Panda,2008,"Jack Black, Ian McShane, Angelina Jolie","In the Valley of Peace, Po the Panda finds himself chosen as the Dragon Warrior despite the fact that he is obese and a complete novice at martial arts."
2015-01-30,Pearl,tt0938283,The Last Airbender,2010,"Noah Ringer, Nicola Peltz, Jackson Rathbone","The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations."
2015-02-12,BT,tt2446042,Taken 3,2014,"Liam Neeson, Forest Whitaker, Maggie Grace","Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name."
2015-02-14,BT,tt1194173,The Bourne Legacy,2013,"Jeremy Renner, Rachel Weisz, Edward Norton","An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
2015-02-16,PPTV,tt0479884,Crank,2006,"Jason Statham, Amy Smart, Carlos Sanz",Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.
2015-02-18,PPTV,tt2872732,Lucy,2014,"Scarlett Johansson, Morgan Freeman, Min-sik Choi","A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
2015-02-21,PPTV,tt1772264,Stonehearst Asylum,2014,"Kate Beckinsale, Jim Sturgess, David Thewlis","A recent medical school grad who takes a position at a mental institution soon finds himself taken with one of his colleagues -- though he has no initial idea of a recent, horrifying staffing change."
2015-02-27,Pearl,tt1028532,Hachi: A Dog's Tale,2009,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa",A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.
2015-03-07,Pearl,tt0477080,Unstoppable,2010,"Denzel Washington, Chris Pine, Rosario Dawson","With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe."
2015-03-08,Pearl,tt1424381,Predators,2010,"Adrien Brody, Laurence Fishburne, Topher Grace",A group of elite warriors are hunted by members of a merciless alien race known as Predators.
2015-03-14,Pearl,tt1401152,Unknown,2011,"Liam Neeson, Diane Kruger, January Jones","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is."
2015-03-21,Pearl,tt0945513,Source Code,2011,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga",A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.
2015-03-22,Pearl,tt0955308,Robin Hood,2010,"Russell Crowe, Cate Blanchett, Matthew Macfadyen","In 13th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
2015-03-28,Pearl,tt1219289,Limitless,2011,"Bradley Cooper, Anna Friel, Abbie Cornish","With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers."
2015-03-29,Pearl,tt1013752,Fast & Furious,2009,"Vin Diesel, Paul Walker, Michelle Rodriguez","Brian O'Conner, now working for the FBI in LA, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
2015-04-12,Pearl,tt0458339,Captain America: The First Avenger,2011,"Chris Evans, Hugo Weaving, Samuel L. Jackson","Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
